Player ▲,Nation,Pos,Squad,Comp,Age,Gls,Ast,Cluster,Cluster_Prob
Tino Kadewere,zw ZIM,"MF,FW",Nantes,fr Ligue 1,28,0.18,0.35,0,0.9971508891784718
Jesper Karlsson,se SWE,FW,Bologna,it Serie A,26,0.3,0.0,0,0.9998316762404117
Lior Kasa,il ISR,"MF,FW",Genoa,it Serie A,18,0.0,0.0,0,0.9999999999996358
Mikkel Kaufmann,dk DEN,FW,Heidenheim,de Bundesliga,23,0.0,0.0,0,0.9998769832047009
Michael Kayode,it ITA,"DF,FW",Fiorentina,it Serie A,20,0.0,0.0,0,0.9999999810804303
Abdoulaye Keita,es ESP,"FW,MF",Getafe,es La Liga,21,0.0,0.0,0,0.9999999707271621
Ismael Konate,ci CIV,"FW,MF",Empoli,it Serie A,18,0.0,0.77,0,1.0
Ismaël Koné,ca CAN,"MF,FW",Marseille,fr Ligue 1,22,0.0,0.0,0,0.9999999793365009
Christian Kouamé,ci CIV,"FW,MF",Empoli,it Serie A,26,0.18,0.0,0,0.9999997660571835
Christian Kouamé,ci CIV,"FW,MF",Fiorentina,it Serie A,26,0.0,0.14,0,0.9990283316553611
Moritz-Broni Kwarteng,gh GHA,"MF,FW",Bochum,de Bundesliga,26,0.0,0.0,0,0.9999999509620435
Mohamed Lamine Bayo,gn GUI,FW,Lille,fr Ligue 1,26,0.59,0.29,0,0.9999999956293077
Gianluca Lapadula,pe PER,"FW,MF",Cagliari,it Serie A,34,0.0,0.0,0,0.9999999587241932
Jérémy Le Douaron,fr FRA,FW,Brest,fr Ligue 1,26,0.0,0.0,0,0.9999980055061067
Marin Ljubicic,hr CRO,"FW,MF",Union Berlin,de Bundesliga,22,0.32,0.32,0,0.9999999467358688
Iker Losada,es ESP,"MF,FW",Betis,es La Liga,22,0.0,0.0,0,0.9999295811944416
Iker Losada,es ESP,"FW,MF",Celta Vigo,es La Liga,22,0.25,0.0,0,0.9999751966376497
Edmond-Paris Maghoma,eng ENG,"MF,FW",Brentford,eng Premier League,23,0.0,0.0,0,1.0
Daniel Maldini,it ITA,"FW,MF",Atalanta,it Serie A,22,1.03,0.0,0,0.9999999999999272
Donyell Malen,nl NED,"FW,MF",Dortmund,de Bundesliga,25,0.44,0.0,0,0.9958986648640481
Donyell Malen,nl NED,FW,Aston Villa,eng Premier League,25,0.88,0.0,0,0.9999999999506723
Ruslan Malinovskyi,ua UKR,"MF,FW",Genoa,it Serie A,31,0.0,0.47,0,0.9999999997162772
Johan Manzambi,ch SUI,"FW,MF",Freiburg,de Bundesliga,18,0.54,0.27,0,0.9999997430820812
Solly March,eng ENG,"FW,MF",Brighton,eng Premier League,30,0.0,0.0,0,1.0
Mirko Marić,hr CRO,FW,Venezia,it Serie A,29,0.0,0.0,0,0.9999880413852538
Mirko Marić,hr CRO,"FW,MF",Monza,it Serie A,29,0.0,0.0,0,0.9999999468587554
Arkaitz Mariezkurrena,es ESP,"FW,MF",Real Sociedad,es La Liga,19,0.74,0.0,0,0.9999991184536561
Jaime Mata,es ESP,"FW,MF",Las Palmas,es La Liga,35,0.0,0.0,0,1.0
Igor Matanovic,hr CRO,FW,Eint Frankfurt,de Bundesliga,21,0.29,0.0,0,0.9730978380248418
Keke Maximilian Topp,de GER,"FW,MF",Werder Bremen,de Bundesliga,20,0.71,0.71,0,1.0
Samuel Mbangula,be BEL,FW,Juventus,it Serie A,20,0.38,0.38,0,0.9993115685480076
Ethan Mbappé,fr FRA,"MF,FW",Lille,fr Ligue 1,17,0.0,0.0,0,1.0
Ibrahim Mbaye,fr FRA,"FW,MF",Paris S-G,fr Ligue 1,16,0.26,0.26,0,0.9999999999951052
James Mcatee,eng ENG,"MF,FW",Manchester City,eng Premier League,21,0.77,0.0,0,0.9999999998773088
Mohamed Meité,fr FRA,FW,Rennes,fr Ligue 1,16,0.33,0.0,0,0.9861957111023744
Lucas Michal,fr FRA,"FW,MF",Monaco,fr Ligue 1,19,0.0,0.0,0,1.0
Pere Milla,es ESP,"MF,FW",Espanyol,es La Liga,31,0.59,0.0,0,0.9996584137074911
Bojan Miovski,mk MKD,FW,Girona,es La Liga,25,0.21,0.1,0,0.9995301591392491
Rafa Mir,es ESP,"FW,MF",Valencia,es La Liga,27,0.12,0.24,0,0.9999894901957959
Max Moerstedt,de GER,FW,Hoffenheim,de Bundesliga,19,0.0,0.0,0,0.9973743742770751
Florent Mollet,fr FRA,"MF,FW",Nantes,fr Ligue 1,32,0.0,0.0,0,0.9999994811456996
Jeremy Monga,eng ENG,"FW,MF",Leicester City,eng Premier League,15,0.0,0.0,0,0.9999896983024086
Mikey Moore,eng ENG,FW,Tottenham,eng Premier League,16,0.0,0.24,0,0.9999752998911838
Youssoufa Moukoko,de GER,"FW,MF",Nice,fr Ligue 1,19,0.87,0.43,0,1.0
Steve Mounié,bj BEN,"FW,MF",Augsburg,de Bundesliga,29,0.26,0.0,0,1.0
Mykhailo Mudryk,ua UKR,FW,Chelsea,eng Premier League,23,0.0,0.0,0,1.0
Florent Muslija,xk KVX,"FW,MF",Freiburg,de Bundesliga,26,0.0,0.0,0,0.9999975887093032
Kingstone Mutandwa,zm ZAM,"FW,MF",Cagliari,it Serie A,21,0.0,0.0,0,0.9999985928363244
Konan N'dri,ci CIV,"FW,MF",Lecce,it Serie A,23,0.0,0.0,0,0.9999993442034204
Djylian N'Guessan,fr FRA,FW,Saint-Étienne,fr Ligue 1,15,0.0,0.0,0,0.999999990908389
Jesús Navas,es ESP,"FW,MF",Sevilla,es La Liga,38,0.21,0.0,0,0.9999946530790598
Junior Ndiaye,fr FRA,FW,Montpellier,fr Ligue 1,19,0.0,0.0,0,0.9999688983658513
Reiss Nelson,eng ENG,FW,Fulham,eng Premier League,24,0.19,0.19,0,0.9999932258328821
Cyril Ngonge,be BEL,FW,Napoli,it Serie A,24,0.0,0.0,0,0.9999999999999964
Steve Ngoura,fr FRA,FW,Le Havre,fr Ligue 1,19,0.0,0.0,0,0.9999999940576352
Eybi Nije,se SWE,"FW,MF",Torino,it Serie A,19,0.23,0.0,0,0.9978532018013595
Lukas Nmecha,de GER,"FW,MF",Wolfsburg,de Bundesliga,25,0.58,0.0,0,0.9999999999999893
Tijjani Noslin,nl NED,"FW,MF",Lazio,it Serie A,25,0.21,0.21,0,0.7451079042319084
